Difficulty,Title,Solution,Accepted,Intentionality Issue(s),Intentionality Sub-Category,Adaptability Issue(s),Adaptability Sub-Category,Consistency Issue(s),Consistency Sub-Category
Easy,1. Two Sum,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,1. Two Sum,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,1. Two Sum,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,1. Two Sum,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,1. Two Sum,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,1. Two Sum,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,9. Palindrome Number,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,13. Roman to Integer,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,14. Longest Common Prefix,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,20. Valid Parentheses,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,21. Merge Two Sorted Lists,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,26. Remove Duplicates from Sorted Array,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,user_solution_3,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,ai_solution_1,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,ai_solution_2,,0,LEER,0,LEER,0,LEER
Easy,27. Remove Element,ai_solution_3,,0,LEER,0,LEER,0,LEER
Easy,28. Find the Index of the First Occurrence in a Stri,user_solution_1,,0,LEER,0,LEER,0,LEER
Easy,28. Find the Index of the First Occurrence in a Stri,user_solution_2,,0,LEER,0,LEER,0,LEER
Easy,28. Find the Index of the First Occurrence in a Stri,user_solution_3,,0,LEER,0,LEER,0,LEER
