Filename,Type,Impact:SoftwareQuality,CleanCodeAttributeCategory,CleanCodeAttribute,Issue Type,Message,Severity,Line
src/Easy/1. Two Sum/ai_solution_4.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/1. Two Sum/ai_solution_5.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/1. Two Sum/ai_solution_6.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/13. Roman to Integer/ai_solution_4.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/13. Roman to Integer/ai_solution_5.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/13. Roman to Integer/ai_solution_6.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/9. Palindrome Number/ai_solution_4.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/9. Palindrome Number/ai_solution_5.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/9. Palindrome Number/ai_solution_6.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/1. Two Sum/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
